Sun Jul 06 13:35:15 -0700 2008 => begin transaction
Sun Jul 06 13:35:15 -0700 2008 => recording cp, args=/Library/Appcelerator/lib/templates/COPYING,/Users/sebastianstadil/Sites/archipel/COPYING
Sun Jul 06 13:35:15 -0700 2008 => recording cp, args=/Library/Appcelerator/lib/templates/README,/Users/sebastianstadil/Sites/archipel/README
Sun Jul 06 13:35:15 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/javascripts
Sun Jul 06 13:35:15 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/javascripts/./appcelerator-debug.js,/Users/sebastianstadil/Sites/archipel/public/javascripts/appcelerator-debug.js
Sun Jul 06 13:35:15 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/javascripts
Sun Jul 06 13:35:15 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/javascripts/./appcelerator-lite.js,/Users/sebastianstadil/Sites/archipel/public/javascripts/appcelerator-lite.js
Sun Jul 06 13:35:15 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/javascripts
Sun Jul 06 13:35:15 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/javascripts/./appcelerator.js,/Users/sebastianstadil/Sites/archipel/public/javascripts/appcelerator.js
Sun Jul 06 13:35:15 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/swf
Sun Jul 06 13:35:15 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/swf/./amcharts_key.txt,/Users/sebastianstadil/Sites/archipel/public/swf/amcharts_key.txt
Sun Jul 06 13:35:15 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/swf
Sun Jul 06 13:35:15 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/swf/./amcolumn.swf,/Users/sebastianstadil/Sites/archipel/public/swf/amcolumn.swf
Sun Jul 06 13:35:15 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/swf
Sun Jul 06 13:35:15 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/swf/./amline.swf,/Users/sebastianstadil/Sites/archipel/public/swf/amline.swf
Sun Jul 06 13:35:15 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/swf
Sun Jul 06 13:35:15 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/swf/./ampie.swf,/Users/sebastianstadil/Sites/archipel/public/swf/ampie.swf
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/.
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/..
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/css
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/css/.
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/css/..
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/css/extjs
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/css/extjs/.
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/css/extjs/..
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/css/extjs
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./css/extjs/ext-all.css,/Users/sebastianstadil/Sites/archipel/public/widgets/common/css/extjs/ext-all.css
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/css/extjs
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./css/extjs/xtheme-gray.css,/Users/sebastianstadil/Sites/archipel/public/widgets/common/css/extjs/xtheme-gray.css
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/.
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/..
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/.
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/..
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/.
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/..
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box/.
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box/..
Sun Jul 06 13:35:16 -0700 2008 => recording mkdir, args=/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box
Sun Jul 06 13:35:16 -0700 2008 => recording cp, args=/Library/Appcelerator/releases/websdk/websdk/2.1.2/common/./images/extjs/default/box/corners-blue.gif,/Users/sebastianstadil/Sites/archipel/public/widgets/common/images/extjs/default/box/corners-blue.gif
